data_id,country,event_type,sub_event_type,fatalities,notes
8059743,Somalia,Battles,Armed clash,3,"['al', 'shabaab', 'militant', 'carried', 'hit', 'run', 'attack', 'police', 'force', 'swspf', 'checkpoint', 'vicinity', 'baidoa', 'town', 'baydhaba', 'bay', 'al', 'shabaab', 'militant', 'claimed', 'killing', 'three', 'police', 'office']"
8059744,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'ambushed', 'government', 'security', 'force', 'sna', 'convoy', 'afgooye', 'wanla', 'weyne', 'town', 'wanla', 'weyn', 'lower', 'shabelle', 'two', 'soldier', 'injured']"
8059510,Nigeria,Battles,Armed clash,7,"['member', 'katsina', 'militia', 'clashed', 'police', 'officer', 'attack', 'zandam', 'jibia', 'lga', 'katsina', 'attack', 'civilian', 'killed', 'injured', 'militiaman', 'police', 'inspector', 'also', 'killed', 'group', 'also', 'destroyed', 'uncompleted', 'building', 'used', 'clinic', 'village']"
8059526,Nigeria,Battles,Armed clash,2,"['police', 'clashed', 'ipob', 'member', 'ogbaga', 'road', 'abakaliki', 'lga', 'ebonyi', 'operation', 'halt', 'action', 'group', 'road', 'vehicle', 'attacked', 'set', 'fire', 'shot', 'ipob', 'member', 'killed', 'another', 'one', 'injured', 'police', 'arrested', 'member', 'group', 'seized', 'gun', 'ammunition']"
8059535,Nigeria,Battles,Armed clash,3,"['member', 'niger', 'militia', 'clashed', 'member', 'local', 'militia', 'attack', 'garin', 'gaba', 'mariga', 'lga', 'niger', 'unidentified', 'number', 'people', 'killed', 'fatality', 'coded']"
8059795,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'ambushed', 'government', 'security', 'force', 'sna', 'convoy', 'warmahan', 'village', 'heading', 'afgooye', 'town', 'near', 'tixsiile', 'village', 'afgooye', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059288,Democratic Republic of Congo,Battles,Armed clash,10,"['fardc', 'clashed', 'unidentified', 'armed', 'group', 'village', 'rubingo', 'kinyanjojo', 'boga', 'irumu', 'ituri', 'incident', 'people', 'including', 'idp', 'fardc', 'soldier', 'killed', 'civilian', 'injured', 'house', 'vehicle', 'burnt', 'another', 'parallel', 'attack', 'armed', 'group', 'took', 'place', 'village', 'tshabi', 'coded', 'another', 'event', 'altogether', 'people', 'displaced', 'others', 'abducted', 'source', 'speculate', 'attack', 'carried', 'adf', 'others', 'say', 'ethnic', 'clash', 'nyali', 'banyabwisha', 'fatality', 'spread', 'across', 'three', 'event']"
8059289,Democratic Republic of Congo,Battles,Armed clash,9,"['fardc', 'clashed', 'unidentified', 'armed', 'group', 'village', 'boga', 'rubingo', 'kinyanjojo', 'irumu', 'ituri', 'incident', 'people', 'including', 'idp', 'fardc', 'soldier', 'killed', 'civilian', 'injured', 'house', 'vehicle', 'burnt', 'another', 'parallel', 'attack', 'said', 'armed', 'group', 'took', 'place', 'tshabi', 'coded', 'another', 'event', 'altogether', 'people', 'displaced', 'others', 'abducted', 'source', 'speculate', 'attack', 'carried', 'adf', 'others', 'say', 'ethnic', 'clash', 'nyali', 'banyabwisha', 'fatality', 'spread', 'across', 'three', 'event']"
8059291,Democratic Republic of Congo,Battles,Armed clash,9,"['fardc', 'clashed', 'unidentified', 'armed', 'group', 'village', 'kinyanjojo', 'boga', 'rubingo', 'irumu', 'ituri', 'incident', 'people', 'including', 'idp', 'fardc', 'soldier', 'killed', 'civilian', 'injured', 'house', 'vehicle', 'burnt', 'another', 'parallel', 'attack', 'said', 'armed', 'group', 'took', 'place', 'tshabi', 'coded', 'another', 'event', 'altogether', 'people', 'displaced', 'others', 'abducted', 'source', 'speculate', 'attack', 'carried', 'adf', 'others', 'say', 'ethnic', 'clash', 'nyali', 'banyabwisha', 'fatality', 'spread', 'across', 'three', 'event']"
8059292,Democratic Republic of Congo,Battles,Armed clash,23,"['fardc', 'monusco', 'clashed', 'unidentified', 'armed', 'group', 'village', 'tshabi', 'irumu', 'ituri', 'said', 'group', 'killed', 'people', 'village', 'including', 'woman', 'men', 'child', 'kidnapped', 'others', 'group', 'also', 'attacked', 'village', 'boga', 'rubingo', 'kinyanjojo', 'coded', 'event', 'altogether', 'displaced', 'others', 'abducted', 'source', 'speculate', 'attack', 'carried', 'adf', 'others', 'say', 'ethnic', 'clash', 'nyali', 'banyabwisha']"
8059808,Cameroon,Battles,Armed clash,0,"['mnjtf', 'soldier', 'repelled', 'ambush', 'laid', 'boko', 'haram', 'fighter', 'pastoralists', 'road', 'gouliouan', 'waliassi', 'village', 'kolofata', 'subdivision', 'mayo', 'sava', 'extreme', 'nord', 'one', 'pastoralists', 'injured', 'assailant']"
8059838,Mali,Battles,Armed clash,0,"['presumed', 'katiba', 'macina', 'katiba', 'khalid', 'ibn', 'al', 'walid', 'coded', 'jnim', 'militant', 'attacked', 'forest', 'guard', 'station', 'kouale', 'bougouni', 'sikasso', 'forest', 'guard', 'repelled', 'attack', 'casualty', 'reported', 'two', 'suspect', 'arrested', 'rifle', 'motorbike', 'military', 'fatigue', 'seized']"
8059588,Nigeria,Battles,Armed clash,0,"['police', 'clashed', 'armed', 'individual', 'attack', 'omuma', 'divisional', 'police', 'headquarters', 'oru', 'east', 'lga', 'imo', 'report', 'injury', 'fatality']"
8059349,Nigeria,Battles,Armed clash,5,"['niger', 'militiaman', 'clashed', 'local', 'militia', 'member', 'beri', 'mariga', 'lga', 'niger', 'group', 'set', 'police', 'station', 'fire', 'people', 'killed', 'injured']"
8059351,Nigeria,Battles,Armed clash,1,"['around', 'reported', 'filiya', 'shongom', 'district', 'member', 'clashed', 'shongom', 'lga', 'gombe', 'land', 'dispute', 'person', 'killed', 'house', 'set', 'fire']"
8059352,Nigeria,Battles,Armed clash,0,"['police', 'clashed', 'score', 'armed', 'individual', 'attack', 'umundugba', 'divisional', 'police', 'headquarters', 'isu', 'lga', 'imo', 'petrol', 'bomb', 'also', 'thrown', 'station', 'number', 'causality', 'reported', 'side', 'attacker']"
8069343,Democratic Republic of Congo,Battles,Armed clash,5,"['fardc', 'nyatura', 'musheku', 'attacked', 'apcls', 'nyatura', 'bagaruza', 'village', 'miandja', 'masisi', 'nord', 'kivu', 'apcls', 'ally', 'pushed', 'fardc', 'nyatura', 'musheku', 'area', 'fardc', 'soldier', 'killed', 'wounded', 'captured', 'child', 'killed', 'woman', 'wounded']"
8166652,Central African Republic,Battles,Armed clash,0,"['national', 'military', 'force', 'clashed', 'fprc', 'rebel', 'cpc', 'near', 'aigbando', 'samba', 'boungou', 'bria', 'clash', 'provoked', 'displacement', 'civilian', 'region', 'fatality', 'injury', 'reported']"
8059691,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'carried', 'hit', 'run', 'attack', 'government', 'security', 'force', 'sna', 'base', 'buurdhuubo', 'town', 'garbahaarey', 'gedo', 'fatality', 'injury', 'reported']"
8166221,Central African Republic,Battles,Armed clash,5,"['russian', 'mercenary', 'wagner', 'group', 'military', 'force', 'clashed', 'chadian', 'military', 'force', 'bang', 'lim', 'ngaoundaye', 'five', 'fatality', 'reported', 'among', 'chadian', 'military', 'force']"
8059235,Burkina Faso,Battles,Armed clash,8,"['presumed', 'jnim', 'militant', 'attacked', 'volunteer', 'fighter', 'vdp', 'position', 'village', 'noralkingal', 'kelbo', 'soum', 'militant', 'killed', 'seven', 'vdp', 'fighter', 'seized', 'weapon', 'equipment', 'burkinabe', 'soldier', 'intervened', 'killed', 'one', 'militant', 'jnim', 'claimed', 'responsibility', 'unofficial', 'video']"
8059260,Chad,Battles,Armed clash,9,"['chadian', 'security', 'force', 'central', 'africa', 'republic', 'security', 'force', 'supported', 'russian', 'private', 'contractor', 'assumed', 'wagner', 'group', 'clashed', 'border', 'post', 'sourou', 'situated', 'baibokoum', 'district', 'logone', 'oriental', 'monts', 'de', 'lam', 'least', 'one', 'chadian', 'soldier', 'killed', 'five', 'injured', 'russian', 'source', 'indicated', 'death', 'three', 'russian', 'paramilitary', 'explosion', 'mine', 'five', 'chadian', 'soldier', 'taken', 'prisoner', 'executed', 'central', 'african', 'force', 'chasing', 'r', 'rebel', 'took', 'refuge', 'chadian', 'territory']"
8059789,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'attacked', 'government', 'security', 'force', 'sna', 'base', 'haanta', 'dheer', 'village', 'near', 'afgooye', 'town', 'afgooye', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059790,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'attacked', 'government', 'police', 'checkpoint', 'mukaiga', 'village', 'afgooye', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059791,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'carried', 'hit', 'run', 'attack', 'government', 'security', 'force', 'sna', 'base', 'garbahaarey', 'town', 'garbahaarey', 'gedo', 'fatality', 'injury', 'reported']"
8059799,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'carried', 'hit', 'run', 'attack', 'government', 'security', 'force', 'sna', 'checkpoint', 'janaale', 'village', 'marka', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059800,Somalia,Battles,Armed clash,0,"['jubaland', 'security', 'force', 'clashed', 'al', 'shabaab', 'militant', 'buulo', 'gaduud', 'forward', 'operation', 'base', 'yoontoy', 'yarey', 'village', 'kismaayo', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059805,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'attacked', 'government', 'security', 'force', 'sna', 'defensive', 'base', 'vicinity', 'shalaambood', 'village', 'marka', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
