data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7992703,231,ETH6768,6768,"11 May 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Ethiopia (2018-) Oromia State Police",,1,"Civilians (Ethiopia)","Prisoners (Ethiopia)",7,17,"Eastern Africa",Ethiopia,Oromia,"Kellem Wollega","Denbi Dollo town","Dembi Dolo",8.5333,34.8,1,"Addis Standard",National,"On 11 May 2021, a suspected member of OLF-Shane and Abbaa Torbee was extra-judicially executed in a public square by Oromia Regional Special police forces in Dembi Dolo (Kelem Wolega, Oromia). The young man had been caught soon after the killing of an OMN journalist a few days before.",1,1621889044,ETH
7992814,231,ETH6769,6769,"11 May 2021",2021,1,"Violence against civilians",Attack,"OLF: Oromo Liberation Front (Shane Splinter Faction)","OLF: Oromo Liberation Front (Abba Torbee Splinter Faction)",2,"Civilians (Ethiopia)",,7,27,"Eastern Africa",Ethiopia,Oromia,"Kellem Wollega","Denbi Dollo town","Dembi Dolo",8.5333,34.8,1,"BBC News",International,"On 11 May 2021, suspected OLF-Shane/Abba Torbe member shot and injured a civilian in Dembi Dolo town (Kellem Wolega, Oromia).",0,1621889044,ETH
7992815,231,ETH6767,6767,"10 May 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Muslim Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,"Addis Ababa","Region 14",Lideta,"Addis Ababa",9.025,38.7469,1,"BBC News",International,"On 10 May 2021, Muslim protesters gathered in Addis Ababa (Addis Ababa, Addis Ababa) to denounce the dispersing of a planned Iftar event the day prior. Banners read 'We will not be second class citizens' and 'The square is ours'. [size=no report]",0,1621889044,ETH
7992705,231,ETH6765,6765,"09 May 2021",2021,1,"Violence against civilians",Attack,"Police Forces of Ethiopia (2018-)",,1,"Civilians (Ethiopia)","Muslim Group (Ethiopia)",7,17,"Eastern Africa",Ethiopia,"Addis Ababa","Region 14",Lideta,"Addis Ababa",9.025,38.7469,1,"Addis Standard",National,"On 9 May 2021, Ethiopian federal police forces fired tear gas to disperse crowds of Muslim worshipers in Meskel Square (Addis Ababa, Addis Ababa) who had gathered for a publicly announced Iftar. Some minor injuries were reported. No protest activity was taking place.",0,1621889044,ETH
7993050,231,ETH6766,6766,"09 May 2021",2021,1,"Violence against civilians",Attack,"OLF: Oromo Liberation Front (Shane Splinter Faction)","OLF: Oromo Liberation Front (Abba Torbee Splinter Faction)",2,"Civilians (Ethiopia)","Journalists (Ethiopia)",7,27,"Eastern Africa",Ethiopia,Oromia,"Kellem Wollega","Denbi Dollo town","Dembi Dolo",8.5333,34.8,1,ESAT,International,"On 9 May 2021, a journalist from the state-affiliated Oromo Broadcasting Network (OBN) was shot and killed by suspected Oromo Liberation Front (OLF)-Shane and Abbaa Torbee militants near his residence in Dembi Dolo (Denbi Dollo town, Kellem Wollega Zone).",1,1621889044,ETH
7992818,231,ETH6764,6764,"07 May 2021",2021,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Unidentified Armed Group (Ethiopia)",,3,"Civilians (Ethiopia)",,7,37,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray","Hawzen town",Hawzen,13.9784,39.4297,1,"BBC News",International,"On 7 May 2021, town of Hawzen (Eastern, Tigray) was shelled by an unknown party during conflict between TPLF and Ethiopian/Eritrean forces. Several civilians were killed, including children, by the shelling. Unknown fatalities coded as 3.",3,1621889044,ETH
7937289,231,ETH6757,6757,"05 May 2021",2021,2,"Strategic developments",Arrests,"Police Forces of Ethiopia (2018-)",,1,"Civilians (Ethiopia)","Police Forces of Ethiopia (2018-) Liyu Police; Amhara Youth Association",7,17,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Bahir Dar town","Bahir Dar",11.6,37.3833,1,"Deutsche Welle",International,"Around 5 May 2021 (week of), federal forces conducted mass arrests of members of the Amhara Youth Association and some members of the Amhara regional special forces, blaming them for violence that occurred in Bahir Dar city the week prior during protests.",0,1620675925,ETH
7992958,231,ETH6763,6763,"05 May 2021",2021,2,Battles,"Armed clash","Degodia Ethnic Militia (Ethiopia)",,4,"Garre Ethnic Militia (Ethiopia)",,4,44,"Eastern Africa",Ethiopia,Somali,Liban,"Dolo Odo","Garbo Odo",3.9896,41.8649,3,"Daily Nation (Kenya)",Regional,"Around 5 May 2021, (week of), suspected militiamen from the Degodia clan shot and killed two members of the Garre clan, sparking clashes. Location unspecified, coded to Garbo Odo (Liban, Somali).",2,1621889044,ETH
7937099,231,ETH6756,6756,"03 May 2021",2021,1,Protests,"Excessive force against protesters","Protesters (Ethiopia)","OLF: Oromo Liberation Front",6,"Police Forces of Ethiopia (2018-)",,1,16,"Eastern Africa",Ethiopia,"Addis Ababa","Region 14",Lideta,"Addis Ababa",9.025,38.7469,1,"Addis Standard",National,"On 3 May 2021, security forces shot at youth who had gathered to denounce the arrest of the OLF-party chairman in Addis Ababa. Arrests were made. No further information. [size=no report]",0,1620675925,ETH
7992816,231,ETH6762,6762,"03 May 2021",2021,1,Battles,"Armed clash","Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"TPLF: Tigray Peoples Liberation Front","Tigray Ethnic Militia (Ethiopia)",3,13,"Eastern Africa",Ethiopia,Tigray,"Eastern Tigray","Hawzen town",Hawzen,13.9784,39.4297,2,"BBC News",International,"On 3 May 2021, battles were fought between Ethiopian Defense forces soldiers and Eritrean solders on one hand and TPLF forces and ethnic militias on another, in areas near Hawzen town (Eastern, Tigray). No information on casualties.",0,1621889044,ETH
